id,latitude,longitude
3105,40.724055,-73.955736
3106,40.72325,-73.94308
3107,40.72311651,-73.95212324
3108,40.72557,-73.94434
3109,40.72606,-73.95621
3110,40.72708584,-73.95299117
3112,40.72906,-73.95779
3113,40.73026,-73.95394
3115,40.73232194,-73.9550858
3116,40.73266,-73.95826
3117,40.73564,-73.95866
3118,40.73555,-73.95284
3119,40.74232744,-73.95411749
3120,40.74161,-73.96044
3121,40.74524768,-73.94733276
3122,40.74436329,-73.95587325
3123,40.74469738,-73.93540375
3124,40.74731,-73.95451
3125,40.74708586,-73.94977234
3126,40.74718234,-73.9432635
3127,40.74966,-73.9521
3128,40.75052534,-73.94594845
3129,40.75110165,-73.94073717
3130,40.75325964,-73.94335788
3131,40.7671284,-73.96224618
3132,40.76350532,-73.97109243
3134,40.76312584,-73.96526895
3135,40.77112927,-73.95772297
3136,40.766368,-73.971518
3137,40.77282817,-73.96685276
3139,40.77118288,-73.96409422
3140,40.77140426,-73.9535166
3141,40.76500525,-73.95818491
3142,40.7612274,-73.96094022
3143,40.77632142,-73.96427393
3144,40.77677702,-73.9590097
3145,40.77862688,-73.95772073
3146,40.77573034,-73.9567526
3147,40.77801203,-73.95407149
3148,40.77565541,-73.95068615
3150,40.77536905,-73.94803392
3151,40.7728384,-73.94989233
3152,40.76873687,-73.96119945
3155,40.76440023,-73.96648977
3156,40.76663814,-73.95348296
3157,40.77518615,-73.94446054
3158,40.77163851,-73.98261428
3159,40.77492513,-73.98266566
3160,40.77896784,-73.97374737
3161,40.78018397,-73.97728533
3162,40.78339981,-73.98093133
3163,40.7734066,-73.97782542
3164,40.7770575,-73.97898475
3165,40.77579377,-73.97620574
3166,40.78057799,-73.98562431
3167,40.77966809,-73.98093045
3168,40.78472675,-73.96961715
3169,40.78720869,-73.98128127
3170,40.78499979,-73.97283406
3171,40.78524672,-73.97667321
3172,40.7785669,-73.97754961
3173,40.77750703,-73.98888588
3175,40.77748046,-73.98288594
3176,40.77452835,-73.98753759
3177,40.7867947,-73.977112
3178,40.78414472,-73.98362492
3179,40.698617,-73.941342
3180,40.69878,-73.99712
3182,40.686931,-74.016966
3183,40.7162469,-74.0334588
3184,40.7141454,-74.0335519
3185,40.7177325,-74.043845
3186,40.71958612,-74.04311746
3187,40.7211236,-74.03805095
3191,40.7182113,-74.0836394
3192,40.7112423,-74.0557013
3193,40.7246051,-74.07840595
3194,40.72533993,-74.06762213
3195,40.73074263,-74.06378388
3196,40.7443187,-74.0439909
3198,40.74871595,-74.0404433
3199,40.7287448,-74.0321082
3201,40.737711,-74.066921
3202,40.7272235,-74.0337589
3203,40.72759597,-74.04424731
3205,40.71653978,-74.04963791
3206,40.7311689,-74.0575736
3207,40.7376037,-74.0524783
3209,40.7241765,-74.0506564
3210,40.74267714,-74.05178863
3211,40.72152515,-74.04630454
3212,40.73478582,-74.05044364
3213,40.71848892,-74.04772663
3214,40.7127742,-74.0364857
3220,40.73496102,-74.05950308
3221,40.743,-73.93561
3223,40.75899656,-73.96865398
3225,40.7236589,-74.0641943
3226,40.78275,-73.97137
3231,40.7678008,-73.96592081
3232,40.68962189,-73.98304269
3233,40.75724568,-73.97805914
3235,40.75216528,-73.97992194
3236,40.75898481,-73.99379969
3241,40.686203,-73.944694
3242,40.69102926,-73.99183363
3243,40.75892386,-73.96226227
3244,40.73143724,-73.99490342
3249,40.68035608,-73.9476791
3254,40.69231661,-74.01486576
3255,40.75058535,-73.99468482
3256,40.72771408,-74.01129574
3258,40.75018156,-74.00218427
3260,40.72706363,-73.99662137
3263,40.72951496,-73.9907527
3267,40.71241882,-74.03852552
3268,40.71346383,-74.06285852
3269,40.72601173,-74.05038893
3270,40.72528911,-74.04557168
3272,40.72333159,-74.04595256
3273,40.72165072,-74.04288411
3275,40.7183552,-74.03891444
3276,40.71458404,-74.04281706
3277,40.71435837,-74.06661093
3278,40.72568548,-74.04879034
3279,40.72163014,-74.04996783
3280,40.7192822,-74.07126188
3281,40.74590997,-74.05727148
3282,40.78307,-73.95939
3283,40.7882213,-73.97041561
3284,40.7814107,-73.95595908
3285,40.78839,-73.9747
3286,40.7806284,-73.9521667
3288,40.778301,-73.9488134
3289,40.79017948,-73.97288918
3290,40.7779453,-73.946041
3292,40.7857851,-73.957481
3293,40.7921,-73.9739
3294,40.7835016,-73.955327
3295,40.79127,-73.964839
3296,40.78245418,-73.94891962
