start station id,end station id,tripduration
72,72,0
72,79,1387
72,82,1689
72,83,2450
72,119,2509
72,120,2828
72,127,1084
72,128,1213
72,143,2133
72,144,2364
72,146,1316
72,150,1741
72,151,1395
72,152,1323
72,157,2123
72,161,1205
72,164,831
72,167,1036
72,168,993
72,173,356
72,174,1326
72,195,1592
72,212,809
72,216,2097
72,217,2101
72,223,1024
72,228,717
72,229,1372
72,232,1972
72,236,1466
72,237,1404
72,238,932
72,239,2630
72,241,2558
72,242,2524
72,243,2185
72,244,2865
72,245,2625
72,247,958
72,248,1244
72,249,1274
72,251,1401
72,252,1189
72,253,1162
72,254,1226
72,257,1575
72,258,2647
72,259,1542
72,260,1537
72,261,2139
72,262,2722
72,264,1746
72,265,1588
72,266,1665
72,267,636
72,268,1519
72,270,2692
72,274,2372
72,275,2656
72,276,1284
72,278,2422
72,279,1813
72,280,1221
72,281,601
72,282,2413
72,285,1223
72,289,2897
72,291,2174
72,293,1437
72,295,2136
72,296,2078
72,297,1265
72,298,2228
72,301,1630
72,302,1720
72,303,1358
72,304,1499
72,305,800
72,306,1695
72,307,2139
72,308,1663
72,309,1276
72,310,2098
72,311,2229
72,312,1526
72,313,2658
72,314,2002
72,315,1642
72,316,1688
72,317,1607
72,319,1532
72,320,1495
72,321,1984
72,322,1945
72,323,2062
72,324,2252
72,325,1259
72,326,1536
72,327,1270
72,328,1119
72,330,1536
72,331,2022
72,332,2210
72,334,853
72,335,1378
72,336,1191
72,337,1669
72,339,1682
72,340,2102
72,341,1843
72,342,1922
72,343,2789
72,344,3033
72,345,1198
72,346,938
72,347,1167
72,349,1695
72,350,2146
72,351,1739
72,353,2428
72,354,2848
72,355,1655
72,356,2260
72,357,1297
72,358,1055
72,359,752
72,360,1624
72,361,2144
72,362,624
72,363,1378
72,364,2710
72,365,2840
72,366,2728
72,368,1085
72,369,1148
72,372,2849
72,373,3033
72,376,1666
72,377,1393
72,379,728
72,380,1044
72,382,1244
72,383,1074
72,386,1580
72,387,1462
72,388,507
72,389,2327
72,390,2056
72,391,2020
72,392,1942
72,393,1643
72,394,1644
72,396,2951
72,397,2621
72,398,2328
72,399,2671
72,400,1660
72,401,1565
72,402,953
72,403,1410
72,405,882
72,406,2111
72,407,2115
72,408,1933
72,409,2780
72,410,1607
72,411,1688
72,412,1778
72,414,2160
72,415,1602
72,416,2523
72,417,1463
72,418,2179
72,419,2588
72,420,2540
72,421,2613
72,422,307
72,423,255
72,426,1247
72,427,1518
72,432,1569
72,433,1550
72,435,1005
72,436,3076
72,437,3125
72,438,1487
72,439,1442
72,440,903
72,441,760
72,442,753
72,443,2382
72,445,1536
72,446,781
72,447,298
72,448,365
72,449,217
72,450,425
72,453,752
72,454,949
72,455,998
72,456,679
72,457,428
72,458,428
72,459,838
72,460,2260
72,461,1253
72,462,784
72,465,527
72,466,876
72,467,2376
72,468,389
72,469,367
72,470,780
72,471,2245
72,472,922
72,473,1624
72,474,845
72,476,1072
72,477,539
72,478,198
72,479,297
72,480,157
72,481,2281
72,482,953
72,483,1338
72,484,608
72,485,763
72,486,780
72,487,1369
72,490,689
72,491,1043
72,492,691
72,494,665
72,495,304
72,496,1098
72,497,1109
72,498,734
72,499,471
72,500,328
72,501,1150
