start station id,end station id,tripduration
72,3386,2417
72,3387,1487
72,3388,2381
72,3389,2484
72,3390,1668
72,3391,1853
72,3392,2521
72,3393,2566
72,3394,2620
72,3396,2558
72,3397,2404
72,3398,2779
72,3399,2600
72,3400,1569
72,3401,2647
72,3402,2096
72,3403,2695
72,3404,2750
72,3405,2780
72,3407,2390
72,3408,2245
72,3409,2249
72,3410,2177
72,3411,2244
72,3412,2342
72,3413,2298
72,3414,2572
72,3415,2612
72,3417,2462
72,3418,2850
72,3419,2448
72,3420,2349
72,3421,2215
72,3422,2382
72,3423,3176
72,3424,1606
72,3425,1660
72,3427,1468
72,3429,2358
72,3430,2524
72,3431,1116
72,3434,748
72,3435,1597
72,3437,964
72,3438,1100
72,3440,2057
72,3443,402
72,3447,1249
72,3449,2571
72,3452,2486
72,3453,2520
72,3454,2479
72,3456,2535
72,3457,644
72,3458,509
72,3459,850
72,3461,1330
72,3462,921
72,3463,1215
72,3466,603
72,3467,1265
72,3469,2349
72,3472,818
72,3474,1306
72,3476,2436
72,3477,3412
72,3478,3370
72,3479,2209
72,3481,1899
72,3483,2062
72,3486,2146
72,3489,1564
72,3490,2051
72,3491,2051
72,3492,1868
72,3493,1964
72,3494,1960
72,3495,1964
72,3496,1955
72,3497,2028
72,3498,2039
72,3499,2090
72,3500,1824
72,3501,1780
72,3502,1818
72,3503,1823
72,3504,2082
72,3505,2059
72,3506,1915
72,3507,2049
72,3508,1584
72,3509,1609
72,3510,1702
72,3511,1608
72,3512,2172
72,3513,2299
72,3514,2271
72,3515,2363
72,3516,2167
72,3517,2291
72,3518,1897
72,3519,2305
72,3520,1634
72,3521,1593
72,3522,2412
72,3523,2443
72,3524,2401
72,3525,2532
72,3526,2512
72,3527,1949
72,3528,2525
72,3529,1899
72,3530,2486
72,3531,1723
72,3532,2487
72,3533,1636
72,3534,1514
72,3535,1780
72,3536,1371
72,3537,2565
72,3538,1285
72,3539,1400
72,3540,1596
72,3541,1464
72,3542,1499
72,3543,1520
72,3544,2741
72,3545,1549
72,3546,2837
72,3547,1503
72,3549,2803
72,3551,1866
72,3552,1305
72,3553,1431
72,3554,1678
72,3555,1589
72,3556,1563
72,3557,1668
72,3558,2751
72,3559,1630
72,3560,1666
72,3561,1773
72,3562,2929
72,3563,1781
72,3564,1743
72,3565,1794
72,3566,1795
72,3567,1809
72,3568,1860
72,3569,2908
72,3570,1901
72,3571,2947
72,3572,1955
72,3573,1904
72,3574,2795
72,3575,1825
72,3576,2766
72,3577,1902
72,3578,2952
72,3579,3147
72,3580,2891
72,3581,2849
72,3582,3087
72,3583,2973
72,3584,3071
72,3585,3116
72,3586,1839
72,3587,3025
72,3588,1900
72,3589,1930
72,3590,3071
72,3591,1991
72,3592,1933
72,3593,1911
72,3595,1969
72,3596,3186
72,3597,2093
72,3598,2228
72,3599,3138
72,3601,3253
72,3602,2054
72,3603,1976
72,3604,3333
72,3605,1984
72,3606,1856
72,3607,1989
72,3608,1961
72,3609,1971
72,3610,2008
72,3611,1856
72,3612,2146
72,3613,1913
72,3614,2076
72,3615,1619
72,3616,2301
72,3617,2200
72,3618,1598
72,3619,2143
72,3620,1644
72,3621,2165
72,3622,1974
72,3623,1356
72,3625,1605
72,3628,1660
72,3629,1769
72,3630,1487
72,3631,3154
72,3632,1531
72,3635,470
72,3637,2712
72,3638,1973
72,3639,1850
72,3640,2636
72,3641,872
72,3646,1824
72,3647,1852
72,3648,2678
72,3649,1589
72,3653,1833
72,3654,1680
72,3656,1637
72,3658,762
72,3659,753
72,3660,864
72,3661,3063
72,3662,2158
72,3663,2691
72,3664,1316
72,3666,2109
72,3668,2468
72,3669,2666
72,3671,1491
72,3673,2866
72,3674,2111
72,3675,1454
72,3676,2655
72,3677,2580
72,3678,2606
72,3679,2437
72,3680,784
72,3681,1781
72,3684,955
72,3686,907
72,3687,1105
72,3688,821
72,3689,1203
72,3691,2313
72,3692,2665
72,3693,2520
