,startid,endid
1578,394,3641
1579,394,497
1580,339,402
1581,339,503
1582,339,435
1583,339,3641
1584,339,497
1585,3632,402
1586,3632,503
1587,3632,435
1588,3632,3641
1589,3632,497
1590,445,402
1591,445,503
1592,445,435
1593,445,3641
1594,445,497
1595,266,402
1596,266,503
1597,266,435
1598,266,3641
1599,266,497
1604,394,3570
1609,339,3570
1614,3632,3570
1619,445,3570
1624,266,3570
1625,394,262
1626,394,241
1627,394,245
1628,394,270
1629,394,419
1630,339,262
1631,339,241
1632,339,245
1633,339,270
1634,339,419
1635,3632,262
1636,3632,241
1637,3632,245
1638,3632,270
1639,3632,419
1640,445,262
1641,445,241
1642,445,245
1643,445,270
1644,445,419
1645,266,262
1646,266,241
1647,266,245
1648,266,270
1649,266,419
1650,394,523
1651,394,477
1652,394,3635
1653,394,490
1654,394,529
1655,339,523
1656,339,477
1657,339,3635
1658,339,490
1659,339,529
1660,3632,523
1661,3632,477
1662,3632,3635
1663,3632,490
1664,3632,529
1665,445,523
1666,445,477
1667,445,3635
1668,445,490
1669,445,529
1670,266,523
1671,266,477
1672,266,3635
1673,266,490
1674,266,529
1700,394,3399
1701,394,3373
1702,394,3401
1703,394,3403
1704,394,3404
1705,339,3399
1706,339,3373
1707,339,3401
1708,339,3403
1709,339,3404
1710,3632,3399
1711,3632,3373
1712,3632,3401
1713,3632,3403
1714,3632,3404
1715,445,3399
1716,445,3373
1717,445,3401
1718,445,3403
1719,445,3404
1720,266,3399
1721,266,3373
1722,266,3401
1723,266,3403
1724,266,3404
1725,394,325
1726,394,461
1728,394,297
1729,394,3463
1730,339,325
1731,339,461
1733,339,297
1734,339,3463
1735,3632,325
1736,3632,461
1738,3632,297
1739,3632,3463
1740,445,325
1741,445,461
1743,445,297
1744,445,3463
1745,266,325
1746,266,461
1748,266,297
1749,266,3463
1750,394,3106
1751,394,3108
1752,394,3100
1754,394,3095
1755,339,3106
1756,339,3108
1757,339,3100
1759,339,3095
1760,3632,3106
1761,3632,3108
1762,3632,3100
1764,3632,3095
1765,445,3106
1766,445,3108
1767,445,3100
1769,445,3095
1770,266,3106
1771,266,3108
1772,266,3100
1774,266,3095
1775,394,380
1776,394,369
1777,394,383
1778,394,247
1779,394,358
1780,339,380
1781,339,369
1782,339,383
1783,339,247
1784,339,358
1785,3632,380
1786,3632,369
1787,3632,383
1788,3632,247
1789,3632,358
1790,445,380
1791,445,369
1792,445,383
1793,445,247
1794,445,358
1795,266,380
1796,266,369
1797,266,383
1798,266,247
1799,266,358
1825,394,3649
1826,394,3547
1827,394,3541
1829,394,3533
1830,339,3649
1831,339,3547
1832,339,3541
1834,339,3533
1835,3632,3649
1836,3632,3547
1837,3632,3541
1839,3632,3533
1840,445,3649
1841,445,3547
1842,445,3541
1844,445,3533
1845,266,3649
1846,266,3547
1847,266,3541
1849,266,3533
1875,394,347
1876,394,328
1877,394,3474
1878,394,128
1879,394,127
1880,339,347
1881,339,328
1882,339,3474
1883,339,128
1884,339,127
1885,3632,347
1886,3632,328
1887,3632,3474
1888,3632,128
1889,3632,127
1890,445,347
1891,445,328
1892,445,3474
1893,445,128
1894,445,127
1895,266,347
1896,266,328
1897,266,3474
1898,266,128
1899,266,127
2000,394,476
2001,394,540
2002,394,528
2003,394,546
2004,394,536
2005,339,476
2006,339,540
2007,339,528
2008,339,546
2009,339,536
2010,3632,476
2011,3632,540
2012,3632,528
2013,3632,546
2014,3632,536
2015,445,476
2016,445,540
2017,445,528
2018,445,546
2019,445,536
2020,266,476
2021,266,540
2022,266,528
2023,266,546
2024,266,536
2050,394,3131
2053,394,3152
2054,394,3447
2055,339,3131
2058,339,3152
2059,339,3447
2060,3632,3131
2063,3632,3152
2064,3632,3447
2065,445,3131
2068,445,3152
2069,445,3447
2070,266,3131
2073,266,3152
2074,266,3447
2100,394,3356
2101,394,3176
2102,394,3159
2103,394,3158
2104,394,3175
2105,339,3356
2106,339,3176
2107,339,3159
2108,339,3158
2109,339,3175
2110,3632,3356
2111,3632,3176
2112,3632,3159
2113,3632,3158
2114,3632,3175
2115,445,3356
2116,445,3176
2117,445,3159
2118,445,3158
2119,445,3175
2120,266,3356
2121,266,3176
2122,266,3159
2123,266,3158
2124,266,3175
2151,394,151
2153,394,531
2154,394,251
2156,339,151
2158,339,531
2159,339,251
2161,3632,151
2163,3632,531
2164,3632,251
2166,445,151
2168,445,531
2169,445,251
2171,266,151
2173,266,531
2174,266,251
2175,394,3125
2176,394,3127
2177,394,3124
2178,394,3615
2179,394,3611
2180,339,3125
2181,339,3127
2182,339,3124
2183,339,3615
2184,339,3611
2185,3632,3125
2186,3632,3127
2187,3632,3124
2188,3632,3615
2189,3632,3611
2190,445,3125
2191,445,3127
2192,445,3124
2193,445,3615
2194,445,3611
2195,266,3125
2196,266,3127
2197,266,3124
2198,266,3615
2199,266,3611
2200,394,3130
2201,394,3128
2202,394,3129
2203,394,3620
2204,394,3556
2205,339,3130
2206,339,3128
2207,339,3129
2208,339,3620
2209,339,3556
2210,3632,3130
2211,3632,3128
2212,3632,3129
2213,3632,3620
2214,3632,3556
2215,445,3130
2216,445,3128
2217,445,3129
2218,445,3620
2219,445,3556
2220,266,3130
2221,266,3128
2222,266,3129
2223,266,3620
2224,266,3556
2229,394,3498
2234,339,3498
2239,3632,3498
2244,445,3498
2249,266,3498
2250,394,291
2252,394,502
2254,394,349
2255,339,291
2257,339,502
2259,339,349
2260,3632,291
2262,3632,502
2264,3632,349
2265,445,291
2267,445,502
2269,445,349
2270,266,291
2272,266,502
2274,266,349
2301,394,3314
2303,394,3328
2304,394,3302
2306,339,3314
2308,339,3328
2309,339,3302
2311,3632,3314
2313,3632,3328
2314,3632,3302
2316,445,3314
2318,445,3328
2319,445,3302
2321,266,3314
2323,266,3328
2324,266,3302
2329,394,3545
2334,339,3545
2339,3632,3545
2344,445,3545
2349,266,3545
2350,394,3686
2351,394,405
2352,394,3659
2353,394,346
2354,394,3472
2355,339,3686
2356,339,405
2357,339,3659
2358,339,346
2359,339,3472
2360,3632,3686
2361,3632,405
2362,3632,3659
2363,3632,346
2364,3632,3472
2365,445,3686
2366,445,405
2367,445,3659
2368,445,346
2369,445,3472
2370,266,3686
2371,266,405
2372,266,3659
2373,266,346
2374,266,3472
2400,394,3466
2401,394,524
2402,394,484
2403,394,3680
2404,394,3233
2405,339,3466
2406,339,524
2407,339,484
2408,339,3680
2409,339,3233
2410,3632,3466
2411,3632,524
2412,3632,484
2413,3632,3680
2414,3632,3233
2415,445,3466
2416,445,524
2417,445,484
2418,445,3680
2419,445,3233
2420,266,3466
2421,266,524
2422,266,484
2423,266,3680
2424,266,3233
2425,394,454
2426,394,516
2427,394,441
2428,394,164
2429,394,455
2430,339,454
2431,339,516
2432,339,441
2433,339,164
2434,339,455
2435,3632,454
2436,3632,516
2437,3632,441
2438,3632,164
2439,3632,455
2440,445,454
2441,445,516
2442,445,441
2443,445,164
2444,445,455
2445,266,454
2446,266,516
2447,266,441
2448,266,164
2449,266,455
2450,394,447
2451,394,500
2452,394,449
2453,394,450
2454,394,469
2455,339,447
2456,339,500
2457,339,449
2458,339,450
2459,339,469
2460,3632,447
2461,3632,500
2462,3632,449
2463,3632,450
2464,3632,469
2465,445,447
2466,445,500
2467,445,449
2468,445,450
2469,445,469
2470,266,447
2471,266,500
2472,266,449
2473,266,450
2474,266,469
2475,394,362
2476,394,267
2477,394,485
2478,394,533
2479,394,505
2480,339,362
2481,339,267
2482,339,485
2483,339,533
2484,339,505
2485,3632,362
2486,3632,267
2487,3632,485
2488,3632,533
2489,3632,505
2490,445,362
2491,445,267
2492,445,485
2493,445,533
2494,445,505
2495,266,362
2496,266,267
2497,266,485
2498,266,533
2499,266,505
2500,394,3536
2501,394,3542
2502,394,3539
2503,394,3623
2504,394,3552
2505,339,3536
2506,339,3542
2507,339,3539
2508,339,3623
2509,339,3552
2510,3632,3536
2511,3632,3542
2512,3632,3539
2513,3632,3623
2514,3632,3552
2515,445,3536
2516,445,3542
2517,445,3539
2518,445,3623
2519,445,3552
2520,266,3536
2521,266,3542
2522,266,3539
2523,266,3623
2524,266,3552
2575,394,167
2576,394,518
2577,394,3431
2579,394,440
2580,339,167
2581,339,518
2582,339,3431
2584,339,440
2585,3632,167
2586,3632,518
2587,3632,3431
2589,3632,440
2590,445,167
2591,445,518
2592,445,3431
2594,445,440
2595,266,167
2596,266,518
2597,266,3431
2599,266,440
2653,394,3523
2654,394,3517
2658,339,3523
2659,339,3517
2663,3632,3523
2664,3632,3517
2668,445,3523
2669,445,3517
2673,266,3523
2674,266,3517
2675,394,3297
2676,394,3306
2677,394,3365
2678,394,3304
2679,394,3405
2680,339,3297
2681,339,3306
2682,339,3365
2683,339,3304
2684,339,3405
2685,3632,3297
2686,3632,3306
2687,3632,3365
2688,3632,3304
2689,3632,3405
2690,445,3297
2691,445,3306
2692,445,3365
2693,445,3304
2694,445,3405
2695,266,3297
2696,266,3306
2697,266,3365
2698,266,3304
2699,266,3405
2726,394,474
2727,394,491
2728,394,466
2729,394,486
2731,339,474
2732,339,491
2733,339,466
2734,339,486
2736,3632,474
2737,3632,491
2738,3632,466
2739,3632,486
2741,445,474
2742,445,491
2743,445,466
2744,445,486
2746,266,474
2747,266,491
2748,266,466
2749,266,486
2775,394,3574
2776,394,3576
2777,394,3558
2778,394,3544
2779,394,3581
2780,339,3574
2781,339,3576
2782,339,3558
2783,339,3544
2784,339,3581
2785,3632,3574
2786,3632,3576
2787,3632,3558
2788,3632,3544
2789,3632,3581
2790,445,3574
2791,445,3576
2792,445,3558
2793,445,3544
2794,445,3581
2795,266,3574
2796,266,3576
2797,266,3558
2798,266,3544
2799,266,3581
2803,394,3354
2808,339,3354
2813,3632,3354
2818,445,3354
2823,266,3354
2825,394,3560
2826,394,3625
2827,394,3563
2828,394,3559
2829,394,3654
2830,339,3560
2831,339,3625
2832,339,3563
2833,339,3559
2834,339,3654
2835,3632,3560
2836,3632,3625
2837,3632,3563
2838,3632,3559
2839,3632,3654
2840,445,3560
2841,445,3625
2842,445,3563
2843,445,3559
2844,445,3654
2845,266,3560
2846,266,3625
2847,266,3563
2848,266,3559
2849,266,3654
2851,394,3340
2852,394,3344
2856,339,3340
2857,339,3344
2861,3632,3340
2862,3632,3344
2866,445,3340
2867,445,3344
2871,266,3340
2872,266,3344
2925,394,3565
2926,394,3646
2927,394,3557
2928,394,3554
2930,339,3565
2931,339,3646
2932,339,3557
2933,339,3554
2935,3632,3565
2936,3632,3646
2937,3632,3557
2938,3632,3554
2940,445,3565
2941,445,3646
2942,445,3557
2943,445,3554
2945,266,3565
2946,266,3646
2947,266,3557
2948,266,3554
2950,394,279
2951,394,306
2952,394,351
2953,394,264
2954,394,316
2955,339,279
2956,339,306
2957,339,351
2958,339,264
2959,339,316
2960,3632,279
2961,3632,306
2962,3632,351
2963,3632,264
2964,3632,316
2965,445,279
2966,445,306
2967,445,351
2968,445,264
2969,445,316
2970,266,279
2971,266,306
2972,266,351
2973,266,264
2974,266,316
2975,394,3467
2976,394,2010
2978,394,377
2979,394,303
2980,339,3467
2981,339,2010
2983,339,377
2984,339,303
2985,3632,3467
2986,3632,2010
2988,3632,377
2989,3632,303
2990,445,3467
2991,445,2010
2993,445,377
2994,445,303
2995,266,3467
2996,266,2010
2998,266,377
2999,266,303
3001,394,443
3002,394,389
3003,394,460
3004,394,3078
3006,339,443
3007,339,389
3008,339,460
3009,339,3078
3011,3632,443
3012,3632,389
3013,3632,460
3014,3632,3078
3016,445,443
3017,445,389
3018,445,460
3019,445,3078
3021,266,443
3022,266,389
3023,266,460
3024,266,3078
3050,394,433
3051,394,504
3052,394,2003
3053,394,487
3055,339,433
3056,339,504
3057,339,2003
3058,339,487
3060,3632,433
3061,3632,504
3062,3632,2003
3063,3632,487
3065,445,433
3066,445,504
3067,445,2003
3068,445,487
3070,266,433
3071,266,504
3072,266,2003
3073,266,487
3102,394,3647
3107,339,3647
3112,3632,3647
3117,445,3647
3122,266,3647
3177,394,3688
3179,394,305
3182,339,3688
3184,339,305
3187,3632,3688
3189,3632,305
3192,445,3688
3194,445,305
3197,266,3688
3199,266,305
3200,394,173
3203,394,2021
3204,394,465
3205,339,173
3208,339,2021
3209,339,465
3210,3632,173
3213,3632,2021
3214,3632,465
3215,445,173
3218,445,2021
3219,445,465
3220,266,173
3223,266,2021
3224,266,465
3226,394,3461
3227,394,426
3228,394,152
3229,394,276
3231,339,3461
3232,339,426
3233,339,152
3234,339,276
3236,3632,3461
3237,3632,426
3238,3632,152
3239,3632,276
3241,445,3461
3242,445,426
3243,445,152
3244,445,276
3246,266,3461
3247,266,426
3248,266,152
3249,266,276
3251,394,361
3256,339,361
3261,3632,361
3266,445,361
3271,266,361
3300,394,382
3302,394,285
3303,394,496
3305,339,382
3307,339,285
3308,339,496
3310,3632,382
3312,3632,285
3313,3632,496
3315,445,382
3317,445,285
3318,445,496
3320,266,382
3322,266,285
3323,266,496
3325,394,3294
3326,394,3292
3328,394,3284
