taxi_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
259,802104,54,104310.0,85.0,101188.0,86.0,103904.0,92.0,102066.0,224.0
261,405031,121,803104.0,227.0,903013.0,249.0,803094.0,291.0,405054.0,312.0
265,401569,74,403313.0,104.0,404133.0,136.0,401570.0,144.0,401568.0,151.0
83,503524,878,503309.0,905.0,503322.0,924.0,503321.0,932.0,503308.0,951.0
89,303312,454,303238.0,464.0,303311.0,475.0,303237.0,493.0,305719.0,523.0
92,500994,483,502254.0,499.0,501095.0,521.0,501140.0,521.0,501094.0,524.0
93,503240,821,503506.0,845.0,503505.0,902.0,502981.0,939.0,503493.0,947.0
95,504306,798,504279.0,821.0,504278.0,827.0,504305.0,829.0,504277.0,849.0
96,304630,555,304533.0,566.0,304534.0,612.0,304629.0,622.0,304632.0,642.0
110,201010,690,201133.0,760.0,201134.0,769.0,201009.0,813.0,201011.0,884.0
121,501386,876,502409.0,884.0,501387.0,888.0,502307.0,891.0,502408.0,893.0
133,306566,375,801044.0,377.0,300887.0,442.0,300819.0,471.0,305745.0,486.0
138,804109,1169,504023.0,1421.0,804077.0,1453.0,804002.0,1637.0,804121.0,2985.0
160,504314,378,504268.0,393.0,504267.0,448.0,504313.0,479.0,551070.0,513.0
180,504186,681,504185.0,733.0,504210.0,748.0,504184.0,770.0,504187.0,798.0
184,103658,726,100870.0,774.0,103659.0,1319.0,103660.0,1441.0,902017.0,2185.0
190,305729,490,307643.0,508.0,308076.0,519.0,307642.0,520.0,305735.0,574.0
196,904051,712,504403.0,764.0,904053.0,852.0,502869.0,913.0,504987.0,954.0
202,405138,3875,903094.0,3945.0,401704.0,3961.0,404938.0,3971.0,404253.0,3986.0
207,504517,544,504423.0,590.0,503855.0,841.0,504417.0,929.0,551596.0,942.0
216,504959,944,550262.0,946.0,,inf,,inf,,inf
240,100588,903,100590.0,1032.0,100613.0,1068.0,100589.0,1088.0,100614.0,1105.0
253,503880,489,503901.0,501.0,502569.0,628.0,504484.0,645.0,904074.0,1118.0
260,503325,547,503305.0,562.0,503324.0,639.0,503306.0,670.0,503304.0,688.0
86,552432,50,552431.0,149.0,552501.0,163.0,552437.0,176.0,552433.0,187.0
117,550772,96,550771.0,129.0,982112.0,201.0,553362.0,206.0,550775.0,214.0
124,551491,26,551492.0,174.0,551490.0,185.0,551489.0,305.0,550421.0,368.0
154,350250,1910,350249.0,1958.0,,inf,,inf,,inf
201,550735,29,551609.0,58.0,552998.0,58.0,550857.0,135.0,550767.0,157.0
154,350015,1251,982130.0,1314.0,350250.0,1910.0,350249.0,1958.0,350009.0,2233.0
201,550735,29,551609.0,58.0,552998.0,58.0,550857.0,135.0,550767.0,157.0
27,982151,1058,550737.0,1062.0,550738.0,1278.0,982154.0,1696.0,553113.0,1705.0
214,203430,106,203433.0,124.0,202733.0,167.0,200119.0,168.0,203429.0,188.0
214,203629,251,203513.0,254.0,200211.0,265.0,200120.0,319.0,200126.0,427.0
214,200206,429,203428.0,450.0,203226.0,451.0,200127.0,458.0,200121.0,463.0
214,201291,486,200115.0,500.0,203083.0,500.0,200210.0,509.0,200125.0,540.0
10,550011,129,550058.0,143.0,550057.0,269.0,550114.0,283.0,550097.0,299.0
201,550734,161,551172.0,162.0,982131.0,176.0,553106.0,262.0,552960.0,281.0
199,552077,582,982174.0,586.0,,inf,,inf,,inf
2,553377,546,553225,628,null,inf,null,inf,null,inf
5,250032,150,250028,171,202888,295,203586,317,202913,382
6,203013,8,201096,29,200695,128,200696,137,201049,141
17,303087,123,303446,140,303088,156,303086,250,303028,251
21,300388,273,300310,289,300309,324,300389,329,300311,335
24,401436,134,401435,147,403118,169,402017,187,403151,190
28,550982,163,551060,200,550983,299,550981,334,551061,339
30,553027,324,553379,337,550713,461,553364,500,null,inf
31,100843,582,103362,875,103326,892,103325,904,150034,927
32,101698,170,101699,194,103329,197,103303,207,101767,210
36,304420,212,301881,216,304412,222,301840,231,304419,246
41,404963,100,400228,115,400285,145,400287,146,401045,182
44,905180,595,905179,755,203542,802,203550,808,203543,913
46,103503,286,100820,377,100869,379,100868,481,null,inf
48,402194,83,401493,107,402166,123,401495,146,404948,221
54,801133,185,801007,196,305108,316,901171,349,308049,448
57,502570,112,502560,115,502559,138,502571,190,503902,283
60,104038,92,102386,241,102429,247,104045,252,104039,257
61,307824,127,301110,184,303722,204,303723,251,301109,253
68,405316,96,401503,99,402155,213,401502,216,402125,223
69,102165,59,102119,88,102166,95,102121,150,102164,155
70,550639,151,550640,213,550940,216,553170,217,550941,220
75,401948,51,401947,66,401971,163,404077,173,403436,185
77,302034,114,301963,125,302033,180,301962,191,301964,192
81,104269,148,101971,178,102011,194,104268,199,101970,317
84,203957,388,202329,405,203117,411,250065,451,250066,478
88,401803,44,405399,47,905079,51,405084,75,401664,83
90,401366,24,404244,150,405298,184,402127,185,401225,218
94,104050,21,103970,138,104061,173,100107,216,100041,227
100,401358,26,401359,87,903217,109,903235,174,404153,189
102,982184,129,504365,132,504335,139,504366,159,504364,252
105,901171,538,null,inf,null,inf,null,inf,null,inf
113,401561,49,400336,118,400176,163,400335,164,400334,173
114,403323,201,400890,236,400154,258,405172,272,400155,276
128,100705,490,100707,604,100675,630,100704,664,100677,705
130,503622,53,503950,59,503936,61,503671,69,503937,95
135,502165,105,502164,166,502275,176,502276,212,551826,242
136,100188,217,100161,239,100854,280,103051,321,104344,326
140,403297,46,403563,60,402351,110,403996,121,402296,160
143,403038,35,403487,48,405308,64,803057,65,803056,68
146,552096,212,552095,220,552097,256,552098,259,552073,273
147,100211,124,100424,124,100376,145,104514,145,100264,149
148,403647,64,404167,102,401679,124,804174,160,405320,190
155,300224,56,300244,80,300245,98,306206,103,300225,109
157,503743,162,503747,192,503536,224,503466,232,551951,258
159,101021,143,101063,143,101020,197,101062,228,104296,252
162,403424,3,402173,48,803163,89,402186,99,402841,109
163,803224,24,450377,45,404992,52,403621,66,402229,67
165,300980,109,307520,112,300958,133,300959,252,300978,256
177,300715,13,300716,133,300714,137,307259,166,307927,178
179,552117,75,552116,76,553105,88,552118,152,550604,164
186,401361,33,401363,139,903085,155,400552,159,401360,193
187,200410,81,200432,86,200411,142,203605,162,203363,173
192,501380,136,501355,175,501379,258,501356,275,501357,395
193,552080,106,552082,195,552078,204,982054,218,552081,225
209,403293,103,403590,104,404850,114,405044,133,803074,164
210,302833,65,308122,84,302832,160,302834,202,302823,213
212,101836,85,101797,89,101837,141,101798,192,101796,196
213,103767,285,802103,290,103395,295,103374,465,104004,591
215,552348,87,552347,101,552346,205,552345,217,552350,217
217,303513,110,303425,135,350218,348,306948,374,303170,402
218,552322,140,552323,143,552320,172,552321,179,552325,280
223,553191,223,552072,238,550867,245,552060,294,552061,326
227,305927,109,305895,113,301170,115,307618,122,301297,168
233,401698,161,403247,177,403252,180,401771,190,403251,217
235,101274,89,101290,90,104013,114,102543,129,103528,150
237,403495,95,903105,141,403422,143,403506,152,400028,155
238,403111,69,403159,94,401029,97,403112,122,401030,145
241,103450,105,101525,106,104088,263,100080,267,103449,268
243,402620,52,402543,69,403295,81,402544,139,402542,152
246,903133,57,903200,219,903134,230,405285,235,403816,238
248,102390,1,102425,59,102424,138,102389,168,102426,185
262,404859,52,402345,53,401909,66,401917,120,402339,143
263,401908,99,401919,100,401715,115,402345,156,402339,159
