subway_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
D08,402745,1950,402767,1983,402766,2059,405185,2076,402744,2100
D09,402740,1857,402772,1866,402741,1886,405069,1947,402773,1961
D10,404837,1451,400271,1483,403338,1535,400272,1544,401286,1571
F09,403249,2245,403248,2257,405138,2309,401698,2335,903094,2379
F18,401666,1196,403754,1211,401665,1214,401802,1255,405337,1256
G22,903094,2421,404938,2447,404154,2484,402328,2553,402218,2584
G24,404951,1357,903028,1370,403480,1452,401696,1511,401697,1642
G26,404951,1914,903028,1927,401858,2273,401857,2367,903027,2414
L08,903088,2632,403380,2645,823252,2730,401624,2739,405352,2854
M16,823252,2411,405352,2535,403557,2552,404922,2593,903025,2677
R01,504007,487,503357,574,503870,661,505254,775,504517,1562
R03,503357,35,504007,160,505254,525,503870,636,803029,2003
R09,903094,2013,404938,2039,404154,2076,402328,2145,402218,2176
R28,401666,1571,403754,1586,401665,1589,401802,1630,405337,1631
