300713,14,824,null,inf,null,inf,null,inf,null,inf
300714,14,761,null,inf,null,inf,null,inf,null,inf
300715,14,719,null,inf,null,inf,null,inf,null,inf
300716,14,844,null,inf,null,inf,null,inf,null,inf
301106,13,864,null,inf,null,inf,null,inf,null,inf
301107,13,839,null,inf,null,inf,null,inf,null,inf
301108,13,738,null,inf,null,inf,null,inf,null,inf
301109,13,645,null,inf,null,inf,null,inf,null,inf
301110,13,753,null,inf,null,inf,null,inf,null,inf
301339,14,764,null,inf,null,inf,null,inf,null,inf
301340,14,628,null,inf,null,inf,null,inf,null,inf
301342,14,251,null,inf,null,inf,null,inf,null,inf
301343,14,161,null,inf,null,inf,null,inf,null,inf
301345,14,502,null,inf,null,inf,null,inf,null,inf
301382,14,472,null,inf,null,inf,null,inf,null,inf
301384,14,527,null,inf,null,inf,null,inf,null,inf
301386,14,164,null,inf,null,inf,null,inf,null,inf
301387,14,323,null,inf,null,inf,null,inf,null,inf
301388,14,482,null,inf,null,inf,null,inf,null,inf
301389,14,545,null,inf,null,inf,null,inf,null,inf
301390,14,701,null,inf,null,inf,null,inf,null,inf
301532,14,894,null,inf,null,inf,null,inf,null,inf
301534,14,796,null,inf,null,inf,null,inf,null,inf
301535,14,681,null,inf,null,inf,null,inf,null,inf
301536,14,756,null,inf,null,inf,null,inf,null,inf
301537,14,853,null,inf,null,inf,null,inf,null,inf
301538,14,972,null,inf,null,inf,null,inf,null,inf
301576,14,905,null,inf,null,inf,null,inf,null,inf
301577,14,750,null,inf,null,inf,null,inf,null,inf
301578,14,669,null,inf,null,inf,null,inf,null,inf
301579,14,719,null,inf,null,inf,null,inf,null,inf
301580,14,774,null,inf,null,inf,null,inf,null,inf
301586,14,887,null,inf,null,inf,null,inf,null,inf
301588,14,780,null,inf,null,inf,null,inf,null,inf
301589,14,719,null,inf,null,inf,null,inf,null,inf
301590,14,834,null,inf,null,inf,null,inf,null,inf
301591,14,899,null,inf,null,inf,null,inf,null,inf
301931,12,736,null,inf,null,inf,null,inf,null,inf
301933,12,616,null,inf,null,inf,null,inf,null,inf
301934,12,526,null,inf,null,inf,null,inf,null,inf
301965,14,913,null,inf,null,inf,null,inf,null,inf
301966,14,809,null,inf,null,inf,null,inf,null,inf
301967,14,686,null,inf,null,inf,null,inf,null,inf
301969,14,506,null,inf,null,inf,null,inf,null,inf
301973,14,401,null,inf,null,inf,null,inf,null,inf
