bike_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
490,401819,78,401848,85,803098,87,401231,88,404847,139
491,403782,66,403316,72,404833,106,402132,133,405272,174
492,401360,48,903085,108,400552,112,404820,117,401847,128
494,401227,53,401226,170,401229,171,402154,220,402126,238
495,401409,40,401408,107,402195,153,401410,166,402165,189
496,400331,55,403894,175,401578,178,402857,190,400330,222
497,404936,124,400331,186,404120,194,401579,210,403893,224
498,403539,43,803083,93,403769,96,803082,120,401821,128
499,401016,30,400860,95,404871,96,903233,142,903209,143
500,403760,126,400951,138,403797,162,404035,163,402167,193
501,404951,84,903028,97,403480,179,404950,235,401696,238
502,401142,49,401147,73,401141,80,402103,103,404922,111
503,400007,76,404936,151,402132,207,403782,224,403772,233
504,401687,38,401688,95,404029,142,401193,144,401183,209
505,403539,64,803083,93,403769,95,401821,103,400933,111
507,401778,52,405323,167,401832,170,401779,178,401691,185
508,903106,82,402161,138,903107,144,403956,222,403954,225
509,404881,75,401506,118,402125,124,402155,134,405316,209
513,401412,58,401413,85,403992,136,403986,148,401411,202
514,903198,103,803055,141,903084,172,903082,186,401812,211
515,401407,64,401853,123,401814,130,401408,172,405512,220
516,401699,143,803151,151,402183,162,401701,204,401769,216
517,403459,58,403804,59,403425,105,404160,137,403457,156
518,401772,51,401771,183,404909,183,401697,184,402678,220
519,403459,34,403804,35,404160,113,403425,134,403254,139
520,400514,24,450123,107,402171,157,400515,187,400361,189
522,803163,56,403424,59,402173,100,402186,151,402841,161
523,403552,62,401232,83,401850,182,405374,203,401358,217
524,400936,65,803081,105,403830,118,803080,120,403242,143
525,403191,34,403816,38,405285,41,803079,106,803131,117
526,400324,50,400555,86,401822,110,401844,125,400353,150
528,401775,57,402049,153,401774,157,401827,197,405336,199
529,403238,63,403239,75,401851,99,401497,149,803099,152
530,403626,15,404121,101,404036,141,405353,152,403987,157
531,402755,173,402865,181,403647,206,402867,246,402757,259
533,903235,77,404039,134,401358,142,401359,195,903217,217
534,803185,26,803184,27,803019,97,803002,115,803120,115
536,402048,82,401694,85,404995,88,405396,173,404950,223
537,405272,33,402852,85,403855,154,402145,159,403782,165
540,402851,70,403822,93,402674,175,402852,186,402634,248
545,401833,20,405390,72,903125,72,401690,79,402143,136
546,403822,118,400352,173,405380,237,402851,240,402674,253
2003,401688,83,402142,124,401689,133,903226,155,401687,200
2006,400943,49,403047,61,404992,174,402229,211,403621,229
2008,404983,84,404980,108,450335,178,404979,181,404986,194
2009,405319,95,402112,113,402088,140,405006,202,402087,206
2010,400159,150,400915,257,403847,258,400157,334,401379,340
2012,405396,39,903080,83,401691,97,404995,128,402048,139
2021,404872,55,404919,133,404116,200,403239,216,401495,223
2022,405138,430,903094,500,401704,516,404938,526,404253,541
2023,402838,58,402214,175,403617,178,803163,206,402224,236
3002,403399,0,405124,93,803108,105,803104,142,405125,284
3131,402688,24,403993,46,403505,85,402689,105,403497,114
3132,400363,97,400364,136,400512,164,803117,169,403620,194
3134,403545,54,450051,98,402835,177,401764,228,402687,243
3135,401758,51,402691,122,402692,251,401710,255,401756,259
3136,400128,27,400127,90,400126,183,400512,188,400026,195
3137,400124,102,400123,133,402303,171,400030,186,402290,196
3139,402290,61,402303,116,402301,133,400030,143,403421,165
3140,401711,62,401882,130,401710,135,401876,141,401712,146
3141,403503,60,403995,63,401707,64,403997,165,401708,181
3142,404253,62,405138,162,401706,195,405389,199,903094,216
3143,404303,9,400122,67,403989,100,401870,102,400032,156
3144,404321,167,404860,207,402826,208,405169,212,400033,250
3145,404321,165,403419,183,401922,206,401901,232,400034,233
3146,403433,122,402694,138,405369,154,401884,171,404321,197
3147,403434,61,401921,131,401906,138,401905,168,402694,175
3148,405100,115,401908,160,401919,161,401754,174,401715,176
3150,402339,65,402345,66,404859,103,402346,119,401909,121
