1,null
2,null
3,null
4,null
5,null
6,null
7,null
8,null
9,21,940,null
10,null
11,null
12,null
13,null
14,null
15,null
161,null
2,null
3,null
4,null
5,null
6,null
7,null
8,null
9,21,940,null
10,null
11,null
12,null
13,null
14,null
15,null
16,21,1291,22,145,null
17,13,1428,null
18,null
19,null
20,null
21,null
22,null
23,null
24,null
25,12,708,null
26,null
27,null
28,15,1148,null
29,null
30,null
31,null
32,null
33,null
34,null
35,14,1397,null
36,null
37,null
38,null
39,null
40,null
41,null
42,null
43,null
44,null
45,null
46,null
47,null
48,8,1169,null
49,12,1089,13,1714,null
50,null
51,null
52,null
53,null
54,null
55,null
56,null
57,17,765,null
58,null
59,null
60,null
61,13,848,null
62,13,1123,null
63,null
64,23,1197,24,1405,null
65,12,1166,null
66,null
67,null
68,8,675,null
69,null
70,null
71,null
72,null
73,19,1130,20,989,null
74,null
75,null
76,null
77,14,1110,null
78,null
79,null
80,null
81,null
82,null
83,9,1414,null
84,null
85,null
86,98,1183,99,660,null
87,null
88,null
89,null
90,8,955,null
91,null
92,17,1456,18,442,19,1117,null
93,17,1268,null
94,null
95,10,319,null
96,null
97,12,721,null
98,null
99,null
100,8,476,null
101,null
102,null
103,null
104,null
105,null
106,null
107,null
108,null
109,null
110,null
111,null
112,1,1371,2,1667,null
113,null
114,null
115,null
116,null
117,null
118,null
119,null
120,null
121,null
122,30,406,null
123,null
124,null
125,null
126,null
127,null
128,null
129,null
130,15,1041,null
131,30,1170,null
132,null
133,null
134,11,221,null
135,null
136,null
137,null
138,null
139,85,979,86,1401,null
140,null
141,null
142,null
143,null
144,null
145,1,731,2,467,null
146,null
147,null
148,null
149,null
150,null
151,null
152,null
153,null
154,null
155,null
156,null
157,null
158,null
159,null
160,null
161,8,1560,null
162,null
163,null
164,8,634,null
165,null
166,null
167,null
168,null
169,null
170,8,1199,null
171,19,722,20,907,null
172,null
173,null
174,null
175,null
176,null
177,14,707,null
178,null
179,null
180,null
181,null
182,null
183,null
184,null
185,null
186,8,345,null
187,null
188,null
189,12,947,null
190,null
191,31,431,32,2238,null
192,null
193,null
194,null
195,null
196,null
197,null
198,null
199,null
200,null
201,null
202,null
203,85,1523,86,886,null
204,null
205,83,572,null
206,null
207,null
208,null
209,null
210,null
211,null
212,null
213,null
214,null
215,15,1612,null
216,null
217,null
218,84,771,null
219,84,1396,85,1319,null
220,null
221,null
222,null
223,null
224,null
225,null
226,null
227,null
228,null
229,null
230,8,1079,null
231,null
232,null
233,1,1413,null
234,8,1209,null
235,null
236,null
237,null
238,null
239,null
240,null
241,null
242,null
243,null
244,null
245,null
246,8,885,null
247,null
248,null
249,null
250,null
251,null
252,null
253,17,839,18,1430,null
254,null
255,null
256,null
257,null
258,null
259,null
260,9,525,null
261,null
262,null
263,null
265,null
0,null
